Precinct,Krasner,Khan,Untermeyer,El_Shabazz,Negrin,Deni,O_Neill,Write_In,DivNo,Winner,WinPercent
16-14,45.45,4.55,0,18.18,31.82,0,0,0,1614,Krasner,45.45
16-15,14.71,8.82,14.71,32.35,26.47,0,2.94,0,1615,El Shabazz,32.35
16-16,20,17.14,0,14.29,31.43,2.86,14.29,0,1616,Negrin,31.43
16-17,30,14,11,28,7,0,10,0,1617,Krasner,30
16-18,30.69,17.82,23.76,12.87,12.87,0.99,0.99,0,1618,Krasner,30.69
17-01,42.42,15.15,14.14,23.23,4.04,0,1.01,0,1701,Krasner,42.42
17-02,38.89,17.59,18.52,19.44,2.78,0.93,1.85,0,1702,Krasner,38.89
17-03,31.43,24.76,6.67,31.43,4.76,0.95,0,0,1703,Tie,31.43
17-04,24.82,19.71,9.49,25.55,18.98,0,1.46,0,1704,El Shabazz,25.55
17-05,26.26,32.32,9.09,26.26,5.05,1.01,0,0,1705,Khan,32.32
17-06,25,25.83,2.5,41.67,4.17,0,0,0.83,1706,El Shabazz,41.67
17-07,38.39,19.64,5.36,31.25,3.57,1.79,0,0,1707,Krasner,38.39
17-08,27.83,33.91,9.57,20.87,6.96,0,0.87,0,1708,Khan,33.91
17-09,35.42,17.71,5.21,34.38,6.25,0,1.04,0,1709,Krasner,35.42
17-10,21.57,17.65,5.88,50.98,3.92,0,0,0,1710,El Shabazz,50.98
17-11,47.87,13.83,4.26,24.47,8.51,0,1.06,0,1711,Krasner,47.87
17-12,39.34,11.48,6.56,35.25,6.56,0.82,0,0,1712,Krasner,39.34
17-13,38.6,17.54,5.26,25.44,12.28,0.88,0,0,1713,Krasner,38.6
17-14,52.34,12.5,3.91,25,6.25,0,0,0,1714,Krasner,52.34
17-15,21.62,13.51,2.7,58.56,3.6,0,0,0,1715,El Shabazz,58.56
17-16,34.33,17.91,10.45,29.85,5.97,1.49,0,0,1716,Krasner,34.33
17-17,30.34,25.84,3.37,34.83,4.49,1.12,0,0,1717,El Shabazz,34.83
17-18,34.69,10.2,8.16,38.78,6.12,0,2.04,0,1718,El Shabazz,38.78
17-19,51.35,16.22,8.11,14.41,9.01,0,0.9,0,1719,Krasner,51.35
17-20,36.57,22.39,7.46,24.63,5.22,2.24,1.49,0,1720,Krasner,36.57
17-21,36.19,24.76,8.57,25.71,3.81,0,0.95,0,1721,Krasner,36.19
17-22,37.08,23.6,5.62,24.72,6.74,0,2.25,0,1722,Krasner,37.08
17-23,32.61,15.22,8.7,26.09,15.22,0,2.17,0,1723,Krasner,32.61
17-24,34.26,13.89,9.26,31.48,11.11,0,0,0,1724,Krasner,34.26
17-25,47.14,10,7.14,25.71,7.14,1.43,1.43,0,1725,Krasner,47.14
17-26,41.94,29.03,9.68,19.35,0,0,0,0,1726,Krasner,41.94
17-27,27.71,16.87,10.84,28.92,13.25,0,2.41,0,1727,El Shabazz,28.92
17-28,17.2,13.98,5.38,52.69,9.68,1.08,0,0,1728,El Shabazz,52.69
17-29,35.05,10.31,12.37,35.05,4.12,3.09,0,0,1729,Tie,35.05
18-01,64.73,13.69,4.98,1.24,11.2,0.83,3.32,0,1801,Krasner,64.73
18-02,54.35,21.74,5.65,0.87,11.74,1.3,4.35,0,1802,Krasner,54.35
18-03,27.27,4.55,52.27,4.55,11.36,0,0,0,1803,Untermeyer,52.27
18-04,52.73,21.21,8.48,1.82,11.52,1.21,3.03,0,1804,Krasner,52.73
18-05,59.7,21.64,4.48,0.75,7.46,1.49,4.48,0,1805,Krasner,59.7
18-06,65.07,22.6,3.42,0.68,4.79,0.68,2.74,0,1806,Krasner,65.07
18-07,58.99,23.03,5.62,0,6.18,1.69,4.49,0,1807,Krasner,58.99
18-08,45.45,31.82,4.55,9.09,4.55,0,4.55,0,1808,Krasner,45.45
18-09,63.37,18.02,3.49,1.74,9.3,2.91,1.16,0,1809,Krasner,63.37
18-10,53.49,19.77,8.72,1.74,9.88,1.16,5.23,0,1810,Krasner,53.49
18-11,60.23,15.91,3.41,1.14,7.39,2.27,9.66,0,1811,Krasner,60.23
18-12,62.96,16.4,4.76,0,10.05,0.53,5.29,0,1812,Krasner,62.96
18-13,30.95,16.67,21.43,2.38,26.19,2.38,0,0,1813,Krasner,30.95
18-14,67.42,14.61,4.49,2.25,6.74,1.12,3.37,0,1814,Krasner,67.42
18-15,48.81,7.14,17.86,3.57,21.43,0,1.19,0,1815,Krasner,48.81
18-16,61.05,15.79,9.47,3.16,6.32,3.16,1.05,0,1816,Krasner,61.05
18-17,65.1,11.41,6.71,2.01,12.75,0,2.01,0,1817,Krasner,65.1
19-01,21.21,9.09,0,3.03,66.67,0,0,0,1901,Negrin,66.67
19-02,14.81,22.22,14.81,3.7,40.74,3.7,0,0,1902,Negrin,40.74
19-03,7.14,7.14,7.14,14.29,64.29,0,0,0,1903,Negrin,64.29
19-04,26.67,6.67,0,0,66.67,0,0,0,1904,Negrin,66.67
19-05,12.5,12.5,0,0,75,0,0,0,1905,Negrin,75
19-06,58.82,11.76,0,5.88,23.53,0,0,0,1906,Krasner,58.82
19-07,44.44,3.7,11.11,3.7,33.33,3.7,0,0,1907,Krasner,44.44
19-08,3.57,10.71,14.29,3.57,64.29,0,3.57,0,1908,Negrin,64.29
19-09,12.5,31.25,9.38,3.13,31.25,0,12.5,0,1909,Khan,31.25
19-10,28,8,4,6,52,2,0,0,1910,Negrin,52
19-11,40,10,3.33,10,36.67,0,0,0,1911,Krasner,40
19-12,37.5,3.57,5.36,3.57,48.21,1.79,0,0,1912,Negrin,48.21
19-13,35.29,17.65,9.8,7.84,27.45,0,1.96,0,1913,Krasner,35.29
19-14,37.5,18.75,0,12.5,31.25,0,0,0,1914,Krasner,37.5
19-15,13.16,5.26,2.63,7.89,71.05,0,0,0,1915,Negrin,71.05
19-16,7.5,10,10,0,72.5,0,0,0,1916,Negrin,72.5
19-17,20,13.33,0,16.67,46.67,3.33,0,0,1917,Negrin,46.67
19-18,35.56,4.44,11.11,6.67,42.22,0,0,0,1918,Negrin,42.22
19-19,11.76,11.76,11.76,0,64.71,0,0,0,1919,Negrin,64.71
20-01,47.37,17.54,10.53,12.28,8.77,3.51,0,0,2001,Krasner,47.37
20-02,50,17.65,11.76,8.82,5.88,2.94,2.94,0,2002,Krasner,50
20-03,35,10.83,12.5,13.33,28.33,0,0,0,2003,Krasner,35
