Precinct,Krasner,Khan,Untermeyer,El_Shabazz,Negrin,Deni,O_Neill,Write_In,DivNo,Winner,WinPercent
01-01,55.3,18.18,1.52,0.76,11.36,0,12.88,0,101,Krasner,55.3
01-02,61.68,17.96,4.79,0,7.19,0,8.38,0,102,Krasner,61.68
01-03,59.49,10.77,1.54,0,13.33,1.54,13.33,0,103,Krasner,59.49
01-04,56.82,17.42,3.79,3.03,11.36,3.03,4.55,0,104,Krasner,56.82
01-05,56.9,17.24,1.72,1.72,13.79,1.72,6.9,0,105,Krasner,56.9
01-06,56.82,18.18,5.68,1.14,10.23,0,7.95,0,106,Krasner,56.82
01-07,56.52,11.59,11.59,10.14,5.8,0,4.35,0,107,Krasner,56.52
01-08,62.39,17.09,5.98,0,6.84,1.71,5.98,0,108,Krasner,62.39
01-09,60.14,11.59,4.35,0,7.25,0.72,15.94,0,109,Krasner,60.14
01-10,74.19,12.9,3.87,0,4.52,0.65,3.87,0,110,Krasner,74.19
01-11,55.7,22.37,0.88,0,12.72,1.32,7.02,0,111,Krasner,55.7
01-12,68.67,7.23,6.02,4.82,9.64,0,3.61,0,112,Krasner,68.67
01-13,61.29,16.94,4.03,1.61,8.06,1.61,6.45,0,113,Krasner,61.29
01-14,66.67,10.83,5.83,3.33,6.67,2.5,4.17,0,114,Krasner,66.67
01-15,57.69,13.46,5.77,2.4,13.94,2.4,4.33,0,115,Krasner,57.69
01-16,55.88,17.65,4.9,0,4.9,0.98,15.69,0,116,Krasner,55.88
01-17,42.02,14.29,9.24,3.36,15.13,2.52,13.45,0,117,Krasner,42.02
01-18,24.68,12.03,2.53,1.27,16.46,0,43.04,0,118,O'Neill,43.04
01-19,26.51,18.67,6.63,0,13.25,0.6,34.34,0,119,O'Neill,34.34
01-20,48.11,18.87,2.83,1.42,15.57,1.89,11.32,0,120,Krasner,48.11
01-21,36.22,15.75,7.87,0.79,11.81,0,27.56,0,121,Krasner,36.22
02-01,44.12,26.47,4.41,1.47,16.67,0,6.86,0,201,Krasner,44.12
02-02,57.38,14.75,5.74,7.38,9.84,2.46,2.46,0,202,Krasner,57.38
02-03,60.32,22.22,3.97,0.79,6.35,1.59,4.76,0,203,Krasner,60.32
02-04,60.76,18.99,2.53,0,12.03,1.9,3.8,0,204,Krasner,60.76
02-05,64.56,12.66,4.43,1.9,14.56,0.63,1.27,0,205,Krasner,64.56
02-06,61.54,15.9,3.08,1.54,7.18,2.05,8.72,0,206,Krasner,61.54
02-07,57.64,19.7,3.94,3.45,10.34,0.49,4.43,0,207,Krasner,57.64
02-08,53.49,24.03,3.1,4.65,10.08,2.33,2.33,0,208,Krasner,53.49
02-09,50,20.13,7.79,9.74,8.44,1.95,1.95,0,209,Krasner,50
02-10,61.71,21.71,1.71,1.14,12.57,0,1.14,0,210,Krasner,61.71
02-11,57.69,20.88,3.85,2.2,12.64,0.55,2.2,0,211,Krasner,57.69
02-12,63.28,19.21,2.82,2.82,8.47,1.69,1.69,0,212,Krasner,63.28
02-13,65.57,9.84,3.28,9.84,4.92,1.64,4.92,0,213,Krasner,65.57
02-14,46.05,25,9.87,4.61,9.87,1.32,3.29,0,214,Krasner,46.05
02-15,38.24,31.37,4.9,2.45,19.61,0.49,2.94,0,215,Krasner,38.24
02-16,57.1,29.02,2.52,1.58,6.94,0.95,1.89,0,216,Krasner,57.1
02-17,67.84,16.37,2.34,0.58,10.53,0.58,1.75,0,217,Krasner,67.84
02-18,66.67,19.39,1.82,0.61,7.27,1.21,2.42,0.61,218,Krasner,66.67
02-19,70.29,12.57,1.14,5.14,7.43,2.86,0.57,0,219,Krasner,70.29
02-20,42.17,39.76,2.41,3.61,10.84,0,1.2,0,220,Krasner,42.17
02-21,45,32.5,2.5,7.5,12.5,0,0,0,221,Krasner,45
02-22,49.78,34.8,1.32,0.88,11.01,0.88,1.32,0,222,Krasner,49.78
02-23,49.13,33.04,2.61,1.3,7.83,2.61,3.48,0,223,Krasner,49.13
02-24,58.29,23.22,4.27,1.42,9.95,0.95,1.9,0,224,Krasner,58.29
02-25,59.41,23.27,4.95,0.99,9.9,0.5,0.99,0,225,Krasner,59.41
02-26,49.06,29.59,7.12,0,11.24,1.5,1.5,0,226,Krasner,49.06
02-27,39.15,37.21,4.65,1.55,14.73,0.39,2.33,0,227,Krasner,39.15
03-01,26.87,25.37,11.94,20.9,14.93,0,0,0,301,Krasner,26.87
03-02,27.16,13.58,16.05,27.16,12.35,1.23,2.47,0,302,Tie,27.16
03-03,30.7,14.04,22.81,20.18,10.53,0,1.75,0,303,Krasner,30.7
03-04,20.37,12.04,39.81,15.74,11.11,0.93,0,0,304,Untermeyer,39.81
03-05,22.37,13.16,26.32,19.74,15.79,0,2.63,0,305,Untermeyer,26.32
03-06,28.42,22.11,13.68,17.89,9.47,2.11,6.32,0,306,Krasner,28.42
03-07,20.65,11.96,32.61,20.65,9.78,1.09,3.26,0,307,Untermeyer,32.61
03-08,26.13,9.01,27.03,23.42,12.61,0.9,0.9,0,308,Untermeyer,27.03
03-09,25.38,13.08,26.92,17.69,14.62,0.77,1.54,0,309,Untermeyer,26.92
03-10,33.33,13.33,21.9,24.76,4.76,0.95,0.95,0,310,Krasner,33.33
03-11,38.16,15.13,17.76,14.47,10.53,1.32,2.63,0,311,Krasner,38.16
03-12,29.29,14.14,20.2,26.26,4.04,3.03,3.03,0,312,Krasner,29.29
03-13,20.29,10.14,33.33,26.09,4.35,4.35,1.45,0,313,Untermeyer,33.33
03-14,37.6,14.4,20,20,5.6,1.6,0.8,0,314,Krasner,37.6
03-15,30.71,18.11,19.69,17.32,10.24,3.94,0,0,315,Krasner,30.71
03-16,31.25,10.94,23.44,22.66,10.94,0,0.78,0,316,Krasner,31.25
03-17,38.19,11.11,25.69,13.89,8.33,0,2.78,0,317,Krasner,38.19
03-18,23.53,14.29,30.25,22.69,5.88,0,3.36,0,318,Untermeyer,30.25
03-19,37.68,11.59,5.07,37.68,1.45,1.45,5.07,0,319,Tie,37.68
03-20,41.94,10.75,9.68,27.96,9.68,0,0,0,320,Krasner,41.94
03-21,29.55,20.45,15.91,18.18,9.09,2.27,4.55,0,321,Krasner,29.55
03-22,44.87,14.1,16.67,15.38,8.97,0,0,0,322,Krasner,44.87
04-01,28,14,10,27,10,8,3,0,401,Krasner,28
04-02,19.47,23.89,7.96,35.4,11.5,0.88,0.88,0,402,El Shabazz,35.4
04-03,20.34,11.02,13.56,42.37,9.32,0.85,2.54,0,403,El Shabazz,42.37
04-04,36.84,10.53,8.77,33.33,10.53,0,0,0,404,Krasner,36.84
04-05,46.79,6.42,11.93,27.52,5.5,0.92,0.92,0,405,Krasner,46.79
04-06,35,12.5,5,33.75,8.75,1.25,3.75,0,406,Krasner,35
04-07,28.81,18.64,13.56,24.58,11.86,0.85,1.69,0,407,Krasner,28.81
04-08,22.81,29.82,9.65,27.19,7.89,1.75,0.88,0,408,Khan,29.82
04-09,27.97,15.25,14.41,28.81,11.86,0.85,0.85,0,409,El Shabazz,28.81
04-10,31.37,19.61,7.84,25.49,13.73,0.98,0.98,0,410,Krasner,31.37
04-11,31.73,10.58,10.58,31.73,6.73,3.85,4.81,0,411,Tie,31.73
04-12,27.63,13.16,13.16,38.16,6.58,1.32,0,0,412,El Shabazz,38.16
04-13,30.25,19.33,11.76,18.49,17.65,0.84,1.68,0,413,Krasner,30.25
04-14,32.05,8.97,12.82,37.18,5.13,2.56,1.28,0,414,El Shabazz,37.18
04-15,29.41,10.59,5.88,42.35,11.76,0,0,0,415,El Shabazz,42.35
04-16,42.7,15.73,7.87,23.6,6.74,1.12,1.12,1.12,416,Krasner,42.7
04-17,30,21.82,7.27,33.64,5.45,0.91,0.91,0,417,El Shabazz,33.64
04-18,26.67,16.19,8.57,36.19,9.52,2.86,0,0,418,El Shabazz,36.19
04-19,34.43,22.95,6.56,22.95,8.2,1.64,3.28,0,419,Krasner,34.43
04-20,28.09,10.11,12.36,31.46,13.48,0,4.49,0,420,El Shabazz,31.46
04-21,35.57,18.12,4.7,27.52,11.41,0,2.68,0,421,Krasner,35.57
05-01,32.68,36.6,4.9,0.98,20.92,1.31,2.61,0,501,Khan,36.6
05-02,25.58,36.63,9.88,1.16,23.26,0,3.49,0,502,Khan,36.63
05-03,34.4,36.7,5.5,0.92,21.56,0.46,0.46,0,503,Khan,36.7
05-04,45.45,30.07,4.55,0,17.13,0.7,2.1,0,504,Krasner,45.45
