OBJECTID_1,TotalPop,PctMen,PctWomen,MedAge,MedAgeMen,MedAgeWomen,PctWhite,PctBlack,PctNative,PctAsian,PctPacIsl,PctOther,PctTwoPlus,PctForeignBorn,PctLatino,MedHHincome,PctPoverty,PctEmployed,PctHS,PctAss,PctBac,PctMas,PctProf,PctDoc,Count_,Sum_Krasner,Sum_Khan,Sum_Untermeyer,Sum_El_Shabazz,Sum_Negrin,Sum_Deni,Sum_O_Neill,Sum_Write_In,Sum_Total,Pct_Krasner,Pct_Khan,Pct_Untermeyer,Pct_El_Shabazz,Pct_Negrin,Pct_Deni,Pct_ONeill,Pct_Write_In
11,3221,0.406700000000000,0.593300000000000,42.700000000000003,46.399999999999999,40.500000000000000,0.093759702000000,0.890717169000000,0,0,0,0.001241850000000,0,0.054300000000000,0.015200000000000,34522,0.269500000000000,0.366000000000000,0.258000000000000,0.048200000000000,0.110700000000000,0.052000000000000,0.013400000000000,0.004600000000000,6,323,197,39,201,59,6,10,0,835,38.682634730538922,23.592814371257482,4.670658682634731,24.071856287425149,7.065868263473053,0.718562874251497,1.197604790419162,0.000000000000000
12,3767,0.432200000000000,0.567800000000000,46.000000000000000,41.899999999999999,48.000000000000000,0.612689143000000,0.285903902000000,0,0,0,0.019644279000000,0,0.088400000000000,0.024700000000000,72696,0.086900000000000,0.540000000000000,0.093500000000000,0.024000000000000,0.232200000000000,0.219500000000000,0.119900000000000,0.057200000000000,4,573,357,16,28,68,3,6,0,1051,54.519505233111317,33.967649857278779,1.522359657469077,2.664129400570885,6.470028544243577,0.285442435775452,0.570884871550904,0.000000000000000
13,2439,0.403900000000000,0.596100000000000,36.700000000000003,34.299999999999997,39.799999999999997,0.778187782000000,0.125871259000000,0,0,0,0.012710127000000,0,0.059500000000000,0.047200000000000,128482,0.069300000000000,0.476400000000000,0.102100000000000,0.027100000000000,0.310400000000000,0.261800000000000,0.088900000000000,0.072900000000000,2,133,171,11,2,83,4,27,0,431,30.858468677494201,39.675174013921115,2.552204176334107,0.464037122969838,19.257540603248259,0.928074245939675,6.264501160092808,0.000000000000000
14,5308,0.454600000000000,0.545400000000000,42.399999999999999,40.200000000000003,42.899999999999999,0.961190656000000,0.027882442000000,0,0,0,0.010926903000000,0,0.200100000000000,0.047100000000000,47336,0.131700000000000,0.459500000000000,0.315100000000000,0.070700000000000,0.146700000000000,0.048000000000000,0.004200000000000,0.000000000000000,2,15,28,11,1,33,2,23,0,113,13.274336283185843,24.778761061946902,9.734513274336283,0.884955752212389,29.203539823008850,1.769911504424779,20.353982300884958,0.000000000000000
15,2551,0.452000000000000,0.548000000000000,35.100000000000001,36.100000000000001,34.899999999999999,0.627989024000000,0.155233242000000,0,0,0,0.137985104000000,0,0.105100000000000,0.259900000000000,27879,0.290400000000000,0.394700000000000,0.392300000000000,0.058600000000000,0.062400000000000,0.005900000000000,0.002100000000000,0.000000000000000,6,26,32,20,6,37,6,8,0,135,19.259259259259260,23.703703703703706,14.814814814814813,4.444444444444445,27.407407407407408,4.444444444444445,5.925925925925927,0.000000000000000
16,2216,0.508100000000000,0.491900000000000,30.600000000000001,29.699999999999999,31.399999999999999,0.828971119000000,0.050992780000000,0,0,0,0.072653430000000,0,0.090700000000000,0.236000000000000,40685,0.264400000000000,0.386700000000000,0.338100000000000,0.055300000000000,0.089800000000000,0.040400000000000,0.003700000000000,0.003000000000000,2,10,23,9,2,20,3,23,0,90,11.111111111111111,25.555555555555554,10.000000000000000,2.222222222222222,22.222222222222221,3.333333333333334,25.555555555555554,0.000000000000000
17,3972,0.511300000000000,0.488700000000000,28.800000000000001,30.399999999999999,24.500000000000000,0.274672709000000,0.320493454000000,0,0,0,0.324018127000000,0,0.132200000000000,0.671700000000000,21500,0.573200000000000,0.193900000000000,0.401000000000000,0.047400000000000,0.047900000000000,0.000000000000000,0.000000000000000,0.000000000000000,6,47,27,16,16,53,3,2,0,164,28.658536585365852,16.463414634146343,9.756097560975610,9.756097560975610,32.317073170731710,1.829268292682927,1.219512195121951,0.000000000000000
18,8258,0.503400000000000,0.496600000000000,24.899999999999999,19.300000000000001,31.399999999999999,0.178614677000000,0.645071446000000,0,0,0,0.123153306000000,0,0.152500000000000,0.232600000000000,30098,0.383500000000000,0.328900000000000,0.380600000000000,0.075500000000000,0.070700000000000,0.044600000000000,0.018500000000000,0.000000000000000,10,105,79,44,83,87,9,32,0,439,23.917995444191344,17.995444191343964,10.022779043280181,18.906605922551254,19.817767653758541,2.050113895216401,7.289293849658314,0.000000000000000
19,920,0.431500000000000,0.568500000000000,38.799999999999997,42.399999999999999,36.200000000000003,0.617391304000000,0.323913043000000,0,0,0,0.021739130000000,0,0.053300000000000,0.133700000000000,26080,0.332600000000000,0.329300000000000,0.351300000000000,0.027800000000000,0.045800000000000,0.009800000000000,0.000000000000000,0.000000000000000,7,49,58,43,16,38,13,42,0,259,18.918918918918919,22.393822393822393,16.602316602316602,6.177606177606178,14.671814671814673,5.019305019305019,16.216216216216218,0.000000000000000
20,3049,0.331900000000000,0.668100000000000,61.100000000000001,54.600000000000001,62.399999999999999,0.846507051000000,0.044276812000000,0,0,0,0.000000000000000,0,0.154800000000000,0.012100000000000,52813,0.099000000000000,0.495200000000000,0.124000000000000,0.043500000000000,0.315100000000000,0.252100000000000,0.101700000000000,0.042500000000000,2,190,113,32,5,81,3,15,0,439,43.280182232346242,25.740318906605925,7.289293849658314,1.138952164009112,18.451025056947611,0.683371298405467,3.416856492027335,0.000000000000000
