"DistName",County,Precinct,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct
"1802",Lancaster,Lititz Boro - 1st Ward - 2nd Precinct,300,275,,575,52.17,47.83,0.00
"1803",Lancaster,Lititz Boro - 2nd Ward - 1st Precinct,283,299,,582,48.63,51.37,0.00
"1804",Lancaster,Lititz Boro - 2nd Ward - 2nd Precinct,370,418,2,790,46.84,52.91,0.25
"1805",Lancaster,Lititz Boro - 3rd Ward - 1st Precinct,459,400,3,862,53.25,46.40,0.35
"1806",Lancaster,Lititz Boro - 3rd Ward - 2nd Precinct,512,511,,1023,50.05,49.95,0.00
"1901",Lancaster,Manheim Boro - 1st Ward,390,591,1,982,39.71,60.18,0.10
"1902",Lancaster,Manheim Boro - 2nd Ward,326,440,,766,42.56,57.44,0.00
"2001",Lancaster,Marietta Boro - 1st Dist,275,257,,532,51.69,48.31,0.00
"2002",Lancaster,Marietta Boro - 2nd Dist,235,241,,476,49.37,50.63,0.00
"2101",Lancaster,Millersville Boro - 1st Dist,356,261,1,618,57.61,42.23,0.16
"2102",Lancaster,Millersville Boro - 2nd Dist,370,350,1,721,51.32,48.54,0.14
"2103",Lancaster,Millersville Boro - 3rd Dist,376,259,2,637,59.03,40.66,0.31
"2104",Lancaster,Millersville Boro - 4th Dist,436,176,,612,71.24,28.76,0.00
"2301",Lancaster,Mount Joy Boro - East Ward,273,378,,651,41.94,58.06,0.00
"2302",Lancaster,Mount Joy Boro - Florin Ward,637,941,3,1581,40.29,59.52,0.19
"2303",Lancaster,Mount Joy Boro - West Ward,402,537,1,940,42.77,57.13,0.11
"2400",Lancaster,Mountville Boro,559,617,1,1177,47.49,52.42,0.08
"2501",Lancaster,New Holland Boro - 1st Dist,259,479,1,739,35.05,64.82,0.14
"2502",Lancaster,New Holland Boro - 2nd Dist,366,570,1,937,39.06,60.83,0.11
"2503",Lancaster,New Holland Boro - 3rd Dist,164,396,,560,29.29,70.71,0.00
"2600",Lancaster,Quarryville Boro,288,699,,987,29.18,70.82,0.00
"2701",Lancaster,Strasburg Boro - 1st Ward,315,463,,778,40.49,59.51,0.00
"2703",Lancaster,Strasburg Boro - 3rd Ward,267,394,,661,40.39,59.61,0.00
"2800",Lancaster,Terre Hill Boro,107,384,,491,21.79,78.21,0.00
"2900",Lancaster,Bart Twp,142,419,1,562,25.27,74.56,0.18
"3001",Lancaster,Brecknock Twp - Bowmansville Dist,403,1168,1,1572,25.64,74.30,0.06
"3002",Lancaster,Brecknock Twp - Muddy Creek Dist,141,661,,802,17.58,82.42,0.00
"3100",Lancaster,Caernarvon Twp,257,938,1,1196,21.49,78.43,0.08
"3201",Lancaster,Clay Twp - North,228,766,,994,22.94,77.06,0.00
"3202",Lancaster,Clay Twp - South,471,979,,1450,32.48,67.52,0.00
"3301",Lancaster,Cocalico East Twp - Smokestown Dist,225,850,,1075,20.93,79.07,0.00
"3302",Lancaster,Cocalico East Twp - Swartzville Dist,292,496,,788,37.06,62.94,0.00
"3303",Lancaster,Cocalico East Twp - Stevens Dist,246,546,3,795,30.94,68.68,0.38
"3304",Lancaster,Cocalico East Twp - Reamstown Dist,357,791,1,1149,31.07,68.84,0.09
"3401",Lancaster,Cocalico West Twp - Reinholds Dist,322,748,1,1071,30.07,69.84,0.09
"3402",Lancaster,Cocalico West Twp - Schoeneck Dist,246,963,5,1214,20.26,79.32,0.41
"3500",Lancaster,Colerain Twp,296,795,,1091,27.13,72.87,0.00
"3600",Lancaster,Conestoga Twp,499,1044,1,1544,32.32,67.62,0.06
"3700",Lancaster,Conoy Twp,329,1007,,1336,24.63,75.37,0.00
"3801",Lancaster,Donegal East Twp - Maytown Dist,380,651,1,1032,36.82,63.08,0.10
"3802",Lancaster,Donegal East Twp - Springville Dist,504,914,2,1420,35.49,64.37,0.14
"3803",Lancaster,Donegal East Twp - Maytown West Dist,344,640,1,985,34.92,64.97,0.10
"3901",Lancaster,Donegal West Twp - 1st Dist,239,518,1,758,31.53,68.34,0.13
"3902",Lancaster,Donegal West Twp - 2nd Dist,384,772,,1156,33.22,66.78,0.00
"3903",Lancaster,Donegal West Twp - 3rd Dist,513,872,1,1386,37.01,62.91,0.07
"3904",Lancaster,Donegal West Twp - 4th Dist,286,616,,902,31.71,68.29,0.00
"4000",Lancaster,Drumore Twp,200,545,,745,26.85,73.15,0.00
"4100",Lancaster,Drumore East Twp,326,953,,1279,25.49,74.51,0.00
"4201",Lancaster,Earl Twp - Martindale Dist,158,605,,763,20.71,79.29,0.00
"4202",Lancaster,Earl Twp - New Holland Dist,333,1007,1,1341,24.83,75.09,0.07
"4301",Lancaster,Earl East Twp - Blue Ball Dist,264,873,,1137,23.22,76.78,0.00
"4302",Lancaster,Earl East Twp - Terre Hill Dist,166,571,,737,22.52,77.48,0.00
"4401",Lancaster,Earl West Twp - Earlville Dist,348,649,,997,34.90,65.10,0.00
"4402",Lancaster,Earl West Twp - Farmersville Dist,260,585,,845,30.77,69.23,0.00
"4403",Lancaster,Earl West Twp - North District,323,559,1,883,36.58,63.31,0.11
"4500",Lancaster,Eden Twp,137,354,,491,27.90,72.10,0.00
"4600",Lancaster,Elizabeth Twp,402,1169,1,1572,25.57,74.36,0.06
"4701",Lancaster,Ephrata Twp - Lincoln Dist,395,712,1,1108,35.65,64.26,0.09
"4702",Lancaster,Ephrata Twp - Murrell Dist,481,1034,1,1516,31.73,68.21,0.07
"4703",Lancaster,Ephrata Twp - Trout Run Dist,268,507,,775,34.58,65.42,0.00
"4800",Lancaster,Fulton Twp,197,635,,832,23.68,76.32,0.00
