DistName,County,Precinct,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct,Wolf,Wagner,Glover,Krawchuk,Write In,Total,WolfPct,WagnerPct,KingWolfdiff,Clinton,Trump,Castle,Stein,Johnson,Write In,Total,ClintonPct,TrumpPct,KingClintDiff
L5106,Lancaster,Lampeter East Twp - 6th Dist,238,347,0,585,40.68,59.32,0.00,266,307,1,9,1,584,45.55,52.57,-4.86,236,399,15,4,19,8,681,34.65,58.59,6.03
L5107,Lancaster,Lampeter East Twp - 7th Dist,320,674,2,996,32.13,67.67,0.20,346,639,3,9,1,998,34.67,64.03,-2.54,327,848,4,4,43,29,1255,26.06,67.57,6.07
L5108,Lancaster,Lampeter East Twp - 8th Dist,471,369,0,840,56.07,43.93,0.00,509,318,5,10,0,842,60.45,37.77,-4.38,530,442,8,5,52,21,1058,50.09,41.78,5.98
L5201,Lancaster,Lampeter West Twp - Lampeter Dist,376,661,3,1040,36.15,63.56,0.29,428,585,5,16,3,1037,41.27,56.41,-5.12,391,795,19,13,46,24,1288,30.36,61.72,5.80
L5202,Lancaster,Lampeter West Twp - Lyndon Dist,402,577,0,979,41.06,58.94,0.00,445,520,5,5,1,976,45.59,53.28,-4.53,381,697,11,13,44,11,1157,32.93,60.24,8.13
L5203,Lancaster,Lampeter West Twp - Willow Street Dist,485,733,0,1218,39.82,60.18,0.00,545,645,8,21,1,1220,44.67,52.87,-4.85,439,871,12,17,58,32,1429,30.72,60.95,9.10
L5204,Lancaster,Lampeter West Twp - Locust Dist,609,832,0,1441,42.26,57.74,0.00,692,722,8,12,0,1434,48.26,50.35,-5.99,549,864,6,7,30,16,1472,37.30,58.70,4.97
L5205,Lancaster,Lampeter West Twp - Millport Dist,448,631,0,1079,41.52,58.48,0.00,502,556,2,15,0,1075,46.70,51.72,-5.18,470,687,10,7,40,19,1233,38.12,55.72,3.40
L5206,Lancaster,Lampeter West Twp - Lakes Dist,389,647,0,1036,37.55,62.45,0.00,459,555,5,12,1,1032,44.48,53.78,-6.93,399,709,6,2,21,18,1155,34.55,61.39,3.00
L5207,Lancaster,Lampeter West Twp - Windy Hill Dist,618,984,3,1605,38.50,61.31,0.19,697,873,6,25,2,1603,43.48,54.46,-4.98,624,1068,6,8,89,25,1820,34.29,58.68,4.22
L5301,Lancaster,Lancaster Twp - 1st Dist,357,144,0,501,71.26,28.74,0.00,368,126,3,2,0,499,73.75,25.25,-2.49,331,156,,3,17,13,520,63.65,30.00,7.60
L5302,Lancaster,Lancaster Twp - 2nd Dist,312,93,0,405,77.04,22.96,0.00,313,85,3,5,0,406,77.09,20.94,-0.06,312,159,2,9,22,10,514,60.70,30.93,16.34
L5303,Lancaster,Lancaster Twp - 3rd Dist,316,151,1,468,67.52,32.26,0.21,326,128,4,9,0,467,69.81,27.41,-2.29,412,234,2,6,18,11,683,60.32,34.26,7.20
L5304,Lancaster,Lancaster Twp - 4th Dist,516,242,0,758,68.07,31.93,0.00,512,224,4,16,0,756,67.72,29.63,0.35,610,349,9,15,39,20,1042,58.54,33.49,9.53
L5305,Lancaster,Lancaster Twp - 5th Dist,510,237,1,748,68.18,31.68,0.13,525,201,7,7,1,741,70.85,27.13,-2.67,491,306,4,4,26,10,841,58.38,36.39,9.80
L5306,Lancaster,Lancaster Twp - 6th Dist,359,254,1,614,58.47,41.37,0.16,377,232,2,5,0,616,61.20,37.66,-2.73,394,306,8,6,23,9,746,52.82,41.02,5.65
L5307,Lancaster,Lancaster Twp - 7th Dist,568,267,0,835,68.02,31.98,0.00,593,230,3,9,1,836,70.93,27.51,-2.91,557,288,7,12,14,24,902,61.75,31.93,6.27
L5308,Lancaster,Lancaster Twp - 8th Dist,817,316,1,1134,72.05,27.87,0.09,836,270,6,15,2,1129,74.05,23.91,-2.00,968,444,8,10,55,16,1501,64.49,29.58,7.56
L5309,Lancaster,Lancaster Twp - 9th Dist,723,350,0,1073,67.38,32.62,0.00,742,318,6,3,0,1069,69.41,29.75,-2.03,778,481,4,6,43,23,1335,58.28,36.03,9.10
L5400,Lancaster,Leacock Twp,239,856,1,1096,21.81,78.10,0.09,273,807,3,8,2,1093,24.98,73.83,-3.17,205,956,8,2,20,22,1213,16.90,78.81,4.91
L5501,Lancaster,Leacock Upper Twp - Bareville Dist,349,680,0,1029,33.92,66.08,0.00,378,622,6,19,1,1026,36.84,60.62,-2.93,344,834,8,14,40,13,1253,27.45,66.56,6.46
L5502,Lancaster,Leacock Upper Twp - Leacock Dist,272,554,0,826,32.93,67.07,0.00,307,504,4,12,0,827,37.12,60.94,-4.19,291,644,10,11,32,15,1003,29.01,64.21,3.92
L5503,Lancaster,Leacock Upper Twp - Leola Dist,297,459,0,756,39.29,60.71,0.00,331,399,2,15,3,750,44.13,53.20,-4.85,327,555,8,14,34,20,958,34.13,57.93,5.15
L5600,Lancaster,Little Britain Twp,318,932,1,1251,25.42,74.50,0.08,381,843,6,16,1,1247,30.55,67.60,-5.13,342,1090,2,14,36,16,1500,22.80,72.67,2.62
L5701,Lancaster,Manheim Twp - 1st Dist,398,547,0,945,42.12,57.88,0.00,445,488,2,2,1,938,47.44,52.03,-5.32,394,633,1,2,21,25,1076,36.62,58.83,5.50
L5702,Lancaster,Manheim Twp - 2nd Dist,426,492,1,919,46.35,53.54,0.11,464,432,6,8,1,911,50.93,47.42,-4.58,380,539,6,8,27,17,977,38.89,55.17,7.46
L5703,Lancaster,Manheim Twp - 3rd Dist,433,363,0,796,54.40,45.60,0.00,459,313,2,19,0,793,57.88,39.47,-3.48,438,426,1,6,33,13,917,47.76,46.46,6.63
L5704,Lancaster,Manheim Twp - 4th Dist,391,392,0,783,49.94,50.06,0.00,430,345,2,4,0,781,55.06,44.17,-5.12,378,434,5,10,29,10,866,43.65,50.12,6.29
