Precinct,DistName,DISTID,County,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct,Wolf,Wagner,Glover,Krawchuk,Write In,Total,WolfPct,WagnerPct,KingWolfdiff,Clinton,Trump,Castle,Stein,Johnson,Write In,Total,ClintonPct,TrumpPct,KingClintDiff,Casey,Barletta,Gale,Kerns,Write In,SenTotal,CaseyPct,BarlettaPct,KingCaseyDiff
Cocalico West Twp - Reinholds Dist,3401,L3401,Lancaster,322,748,1,1071,30.07,69.84,0.09,356,692,3,14,0,1065,33.43,64.98,-3.36,345,975,16,4,42,11,1393,24.77,69.99,5.30,337,713,8,10,,1068,31.55,66.76,-1.49
Cocalico West Twp - Schoeneck Dist,3402,L3402,Lancaster,246,963,5,1214,20.26,79.32,0.41,263,915,5,25,5,1213,21.68,75.43,-1.42,226,1212,16,5,37,17,1513,14.94,80.11,5.33,250,925,7,27,,1209,20.68,76.51,-0.41
Colerain Twp,3500,L3500,Lancaster,296,795,0,1091,27.13,72.87,0.00,350,719,5,11,2,1087,32.20,66.15,-5.07,301,932,5,7,24,14,1283,23.46,72.64,3.67,326,750,6,8,,1090,29.91,68.81,-2.78
Conestoga Twp,3600,L3600,Lancaster,499,1044,1,1544,32.32,67.62,0.06,532,974,10,23,1,1540,34.55,63.25,-2.23,461,1374,13,19,73,20,1960,23.52,70.10,8.80,492,996,14,33,1,1536,32.03,64.84,0.29
Conoy Twp,3700,L3700,Lancaster,329,1007,0,1336,24.63,75.37,0.00,372,918,12,24,1,1327,28.03,69.18,-3.41,319,1259,5,4,79,18,1684,18.94,74.76,5.68,346,952,14,20,1,1333,25.96,71.42,-1.33
Donegal East Twp - Maytown Dist,3801,L3801,Lancaster,380,651,1,1032,36.82,63.08,0.10,428,578,5,19,1,1031,41.51,56.06,-4.69,403,830,3,12,57,15,1320,30.53,62.88,6.29,389,615,4,25,,1033,37.66,59.54,-0.84
Donegal East Twp - Springville Dist,3802,L3802,Lancaster,504,914,2,1420,35.49,64.37,0.14,576,806,9,29,1,1421,40.53,56.72,-5.04,469,1100,9,7,66,28,1679,27.93,65.52,7.56,525,856,5,28,,1414,37.13,60.54,-1.64
Donegal East Twp - Maytown West Dist,3803,L3803,Lancaster,344,640,1,985,34.92,64.97,0.10,401,562,9,13,2,987,40.63,56.94,-5.70,309,805,11,11,50,14,1200,25.75,67.08,9.17,359,607,8,17,,991,36.23,61.25,-1.30
Donegal West Twp - 1st Dist,3901,L3901,Lancaster,239,518,1,758,31.53,68.34,0.13,285,454,2,9,2,752,37.90,60.37,-6.37,201,634,4,10,42,18,909,22.11,69.75,9.42,241,496,8,11,,756,31.88,65.61,-0.35
Donegal West Twp - 2nd Dist,3902,L3902,Lancaster,384,772,0,1156,33.22,66.78,0.00,455,667,8,22,0,1152,39.50,57.90,-6.28,364,919,3,14,52,22,1374,26.49,66.89,6.73,405,720,11,21,,1157,35.00,62.23,-1.79
Donegal West Twp - 3rd Dist,3903,L3903,Lancaster,513,872,1,1386,37.01,62.91,0.07,656,713,7,6,0,1382,47.47,51.59,-10.45,475,932,9,10,32,16,1474,32.23,63.23,4.79,580,788,9,5,,1382,41.97,57.02,-4.96
Donegal West Twp - 4th Dist,3904,L3904,Lancaster,286,616,0,902,31.71,68.29,0.00,327,553,3,15,1,899,36.37,61.51,-4.67,243,698,5,6,47,16,1015,23.94,68.77,7.77,303,590,4,10,,907,33.41,65.05,-1.70
Drumore Twp,4000,L4000,Lancaster,200,545,0,745,26.85,73.15,0.00,232,495,6,8,0,741,31.31,66.80,-4.46,195,682,2,8,33,8,928,21.01,73.49,5.83,198,523,6,13,,740,26.76,70.68,0.09
Drumore East Twp,4100,L4100,Lancaster,326,953,0,1279,25.49,74.51,0.00,379,878,4,21,2,1284,29.52,68.38,-4.03,320,1181,13,10,31,23,1578,20.28,74.84,5.21,336,915,9,20,1,1281,26.23,71.43,-0.74
Earl Twp - Martindale Dist,4201,L4201,Lancaster,158,605,0,763,20.71,79.29,0.00,178,570,2,7,3,760,23.42,75.00,-2.71,182,684,6,5,15,18,910,20.00,75.16,0.71,171,571,5,10,,757,22.59,75.43,-1.88
Earl Twp - New Holland Dist,4202,L4202,Lancaster,333,1007,1,1341,24.83,75.09,0.07,421,892,4,14,0,1331,31.63,67.02,-6.80,339,1029,13,4,36,14,1435,23.62,71.71,1.21,380,938,9,6,,1333,28.51,70.37,-3.67
Earl East Twp - Blue Ball Dist,4301,L4301,Lancaster,264,873,0,1137,23.22,76.78,0.00,295,817,4,16,1,1133,26.04,72.11,-2.82,244,1028,21,5,31,16,1345,18.14,76.43,5.08,278,840,,11,1,1130,24.60,74.34,-1.38
Earl East Twp - Terre Hill Dist,4302,L4302,Lancaster,166,571,0,737,22.52,77.48,0.00,171,552,2,11,0,736,23.23,75.00,-0.71,165,705,7,5,27,18,927,17.80,76.05,4.72,171,557,2,9,,739,23.14,75.37,-0.62
Earl West Twp - Earlville Dist,4401,L4401,Lancaster,348,649,0,997,34.90,65.10,0.00,376,594,7,17,0,994,37.83,59.76,-2.92,321,747,8,5,49,25,1155,27.79,64.68,7.11,342,619,7,21,,989,34.58,62.59,0.32
Earl West Twp - Farmersville Dist,4402,L4402,Lancaster,260,585,0,845,30.77,69.23,0.00,287,539,5,9,3,843,34.05,63.94,-3.28,277,663,12,6,47,21,1026,27.00,64.62,3.77,270,555,2,12,,839,32.18,66.15,-1.41
Earl West Twp - North District,4403,L4403,Lancaster,323,559,1,883,36.58,63.31,0.11,356,511,0,8,0,875,40.69,58.40,-4.11,297,663,16,5,33,17,1031,28.81,64.31,7.77,324,541,2,13,,880,36.82,61.48,-0.24
Eden Twp,4500,L4500,Lancaster,137,354,0,491,27.90,72.10,0.00,151,328,1,7,1,488,30.94,67.21,-3.04,152,435,4,6,15,10,622,24.44,69.94,3.46,137,346,,5,,488,28.07,70.90,-0.17
Elizabeth Twp,4600,L4600,Lancaster,402,1169,1,1572,25.57,74.36,0.06,462,1072,3,30,0,1567,29.48,68.41,-3.91,389,1353,9,9,52,36,1848,21.05,73.21,4.52,417,1111,8,28,,1564,26.66,71.04,-1.09
Ephrata Twp - Lincoln Dist,4701,L4701,Lancaster,395,712,1,1108,35.65,64.26,0.09,439,638,6,19,1,1103,39.80,57.84,-4.15,401,885,13,16,54,16,1385,28.95,63.90,6.70,400,675,6,25,,1106,36.17,61.03,-0.52
Ephrata Twp - Murrell Dist,4702,L4702,Lancaster,481,1034,1,1516,31.73,68.21,0.07,538,940,4,28,1,1511,35.61,62.21,-3.88,466,1233,6,9,63,28,1805,25.82,68.31,5.91,491,995,8,16,,1510,32.52,65.89,-0.79
Ephrata Twp - Trout Run Dist,4703,L4703,Lancaster,268,507,0,775,34.58,65.42,0.00,285,480,1,8,0,774,36.82,62.02,-2.24,264,668,9,11,34,12,998,26.45,66.93,8.13,273,483,4,14,,774,35.27,62.40,-0.69
Fulton Twp,4800,L4800,Lancaster,197,635,0,832,23.68,76.32,0.00,226,594,2,7,0,829,27.26,71.65,-3.58,204,826,7,3,28,6,1074,18.99,76.91,4.68,216,597,3,10,,826,26.15,72.28,-2.47
Hempfield East Twp - Barrcrest Dist,4901,L4901,Lancaster,307,202,0,509,60.31,39.69,0.00,326,171,6,6,0,509,64.05,33.60,-3.73,322,250,3,8,26,5,614,52.44,40.72,7.87,314,184,4,10,,512,61.33,35.94,-1.01
Hempfield East Twp - Centerville Dist,4902,L4902,Lancaster,510,601,1,1112,45.86,54.05,0.09,567,528,4,8,4,1111,51.04,47.52,-5.17,527,680,3,5,37,18,1270,41.50,53.54,4.37,508,587,3,13,1,1112,45.68,52.79,0.18
Hempfield East Twp - Cherry Hill Dist,4903,L4903,Lancaster,268,234,0,502,53.39,46.61,0.00,280,208,4,8,1,501,55.89,41.52,-2.50,282,291,3,4,25,7,612,46.08,47.55,7.31,259,227,7,5,,498,52.01,45.58,1.38
Hempfield East Twp - Chestnut Ridge Dist,4904,L4904,Lancaster,678,540,4,1222,55.48,44.19,0.33,731,468,2,18,0,1219,59.97,38.39,-4.48,629,645,10,10,50,23,1367,46.01,47.18,9.47,674,529,3,14,1,1221,55.20,43.33,0.28
Hempfield East Twp - Friendly Dist,4905,L4905,Lancaster,302,230,0,532,56.77,43.23,0.00,319,202,6,3,0,530,60.19,38.11,-3.42,314,236,2,3,17,11,583,53.86,40.48,2.91,294,221,8,6,,529,55.58,41.78,1.19
Hempfield East Twp - Spring Dist,4906,L4906,Lancaster,488,523,0,1011,48.27,51.73,0.00,534,464,4,7,1,1010,52.87,45.94,-4.60,478,590,10,,24,24,1126,42.45,52.40,5.82,498,502,1,10,,1011,49.26,49.65,-0.99
Hempfield East Twp - Hempland Dist,4907,L4907,Lancaster,207,209,0,416,49.76,50.24,0.00,217,192,3,1,1,414,52.42,46.38,-2.66,249,296,4,6,18,6,579,43.01,51.12,6.75,205,205,2,1,,413,49.64,49.64,0.12
Hempfield East Twp - Indian Springs Dist,4908,L4908,Lancaster,417,434,0,851,49.00,51.00,0.00,459,371,4,8,4,846,54.26,43.85,-5.25,414,527,4,8,46,10,1009,41.03,52.23,7.97,424,406,5,13,3,851,49.82,47.71,-0.82
Hempfield East Twp - Kings District,4909,L4909,Lancaster,314,334,0,648,48.46,51.54,0.00,351,284,1,7,1,644,54.50,44.10,-6.05,313,365,3,4,16,15,716,43.72,50.98,4.74,320,319,,7,1,647,49.46,49.30,-1.00
Hempfield East Twp - Landisville Dist,4911,L4911,Lancaster,423,446,0,869,48.68,51.32,0.00,436,412,4,16,0,868,50.23,47.47,-1.55,358,582,7,11,42,22,1022,35.03,56.95,13.65,422,419,11,19,,871,48.45,48.11,0.23
Hempfield East Twp - Millcreek Dist,4912,L4912,Lancaster,445,498,0,943,47.19,52.81,0.00,497,422,5,16,0,940,52.87,44.89,-5.68,436,575,6,5,35,12,1069,40.79,53.79,6.40,453,473,3,14,,943,48.04,50.16,-0.85
Hempfield East Twp - Petersburg Dist,4913,L4913,Lancaster,232,443,0,675,34.37,65.63,0.00,269,399,2,5,2,677,39.73,58.94,-5.36,233,499,5,4,35,12,788,29.57,63.32,4.80,238,423,5,8,,674,35.31,62.76,-0.94
Hempfield East Twp - Pleasant View Dist,4914,L4914,Lancaster,568,446,0,1014,56.02,43.98,0.00,628,370,6,6,0,1010,62.18,36.63,-6.16,642,539,5,9,43,18,1256,51.11,42.91,4.90,594,405,5,7,,1011,58.75,40.06,-2.74
Hempfield East Twp - Rohrerstown Dist,4915,L4915,Lancaster,509,413,0,922,55.21,44.79,0.00,555,341,5,11,0,912,60.86,37.39,-5.65,497,481,5,6,27,13,1029,48.30,46.74,6.91,522,382,5,7,,916,56.99,41.70,-1.78
Hempfield East Twp - Scotland Dist,4916,L4916,Lancaster,421,537,0,958,43.95,56.05,0.00,476,455,6,9,1,947,50.26,48.05,-6.32,396,556,3,9,56,25,1045,37.89,53.21,6.05,426,515,4,9,,954,44.65,53.98,-0.71
Hempfield West Twp - Chestnut Hill Dist,5001,L5001,Lancaster,529,539,0,1068,49.53,50.47,0.00,574,473,2,15,1,1065,53.90,44.41,-4.36,500,698,5,7,54,9,1273,39.28,54.83,10.25,526,525,4,13,,1068,49.25,49.16,0.28
Hempfield West Twp - Farmdale Dist,5002,L5002,Lancaster,482,662,0,1144,42.13,57.87,0.00,521,584,11,28,1,1145,45.50,51.00,-3.37,453,859,6,16,69,24,1427,31.74,60.20,10.39,459,628,16,33,1,1137,40.37,55.23,1.76
Hempfield West Twp - Ironville Dist,5003,L5003,Lancaster,424,550,1,975,43.49,56.41,0.10,461,490,5,16,1,973,47.38,50.36,-3.89,497,725,7,18,56,14,1317,37.74,55.05,5.75,428,528,6,13,1,976,43.85,54.10,-0.37
Hempfield West Twp - Silver Spring Dist,5004,L5004,Lancaster,352,561,2,915,38.47,61.31,0.22,401,498,8,14,0,921,43.54,54.07,-5.07,343,669,6,12,57,17,1104,31.07,60.60,7.40,351,533,9,20,,913,38.44,58.38,0.03
Hempfield West Twp - Oyster Point Dist,5005,L5005,Lancaster,574,648,2,1224,46.90,52.94,0.16,629,571,5,16,1,1222,51.47,46.73,-4.58,556,780,8,12,64,20,1440,38.61,54.17,8.28,583,615,9,14,,1221,47.75,50.37,-0.85
Hempfield West Twp - Highland Park Dist,5006,L5006,Lancaster,330,316,0,646,51.08,48.92,0.00,347,283,3,13,0,646,53.72,43.81,-2.63,329,386,2,11,27,13,768,42.84,50.26,8.25,331,303,2,9,,645,51.32,46.98,-0.23
Hempfield West Twp - Salunga Dist,5007,L5007,Lancaster,374,481,2,857,43.64,56.13,0.23,414,420,6,18,0,858,48.25,48.95,-4.61,392,569,9,7,53,15,1045,37.51,54.45,6.13,381,458,6,13,,858,44.41,53.38,-0.76
Lampeter East Twp - 1st Dist,5101,L5101,Lancaster,417,545,0,962,43.35,56.65,0.00,461,476,2,16,0,955,48.27,49.84,-4.93,433,563,8,9,56,27,1096,39.51,51.37,3.84,424,511,1,18,1,955,44.40,53.51,-1.05
Lampeter East Twp - 2nd Dist,5102,L5102,Lancaster,432,540,0,972,44.44,55.56,0.00,472,485,3,4,4,968,48.76,50.10,-4.32,461,645,3,3,28,19,1159,39.78,55.65,4.67,446,509,5,9,1,970,45.98,52.47,-1.53
Lampeter East Twp - 3rd Dist,5103,L5103,Lancaster,206,483,0,689,29.90,70.10,0.00,227,446,3,10,0,686,33.09,65.01,-3.19,211,583,14,6,23,19,856,24.65,68.11,5.25,207,460,7,13,,687,30.13,66.96,-0.23
Lampeter East Twp - 4th Dist,5104,L5104,Lancaster,381,315,2,698,54.58,45.13,0.29,384,296,7,7,0,694,55.33,42.65,-0.75,363,467,10,13,24,17,894,40.60,52.24,13.98,361,309,12,13,,695,51.94,44.46,2.64
Lampeter East Twp - 5th Dist,5105,L5105,Lancaster,362,322,1,685,52.85,47.01,0.15,380,288,5,8,1,682,55.72,42.23,-2.87,352,418,3,5,38,16,832,42.31,50.24,10.54,364,309,5,9,,687,52.98,44.98,-0.14
Lampeter East Twp - 6th Dist,5106,L5106,Lancaster,238,347,0,585,40.68,59.32,0.00,266,307,1,9,1,584,45.55,52.57,-4.86,236,399,15,4,19,8,681,34.65,58.59,6.03,246,329,1,9,,585,42.05,56.24,-1.37
Lampeter East Twp - 7th Dist,5107,L5107,Lancaster,320,674,2,996,32.13,67.67,0.20,346,639,3,9,1,998,34.67,64.03,-2.54,327,848,4,4,43,29,1255,26.06,67.57,6.07,332,643,2,19,1,997,33.30,64.49,-1.17
Lampeter East Twp - 8th Dist,5108,L5108,Lancaster,471,369,0,840,56.07,43.93,0.00,509,318,5,10,0,842,60.45,37.77,-4.38,530,442,8,5,52,21,1058,50.09,41.78,5.98,490,341,3,6,,840,58.33,40.60,-2.26
Lampeter West Twp - Lampeter Dist,5201,L5201,Lancaster,376,661,3,1040,36.15,63.56,0.29,428,585,5,16,3,1037,41.27,56.41,-5.12,391,795,19,13,46,24,1288,30.36,61.72,5.80,404,614,7,12,,1037,38.96,59.21,-2.80
Lampeter West Twp - Lyndon Dist,5202,L5202,Lancaster,402,577,0,979,41.06,58.94,0.00,445,520,5,5,1,976,45.59,53.28,-4.53,381,697,11,13,44,11,1157,32.93,60.24,8.13,418,543,5,6,1,973,42.96,55.81,-1.90
Lampeter West Twp - Willow Street Dist,5203,L5203,Lancaster,485,733,0,1218,39.82,60.18,0.00,545,645,8,21,1,1220,44.67,52.87,-4.85,439,871,12,17,58,32,1429,30.72,60.95,9.10,507,682,5,21,2,1217,41.66,56.04,-1.84
Lampeter West Twp - Locust Dist,5204,L5204,Lancaster,609,832,0,1441,42.26,57.74,0.00,692,722,8,12,0,1434,48.26,50.35,-5.99,549,864,6,7,30,16,1472,37.30,58.70,4.97,629,782,5,16,,1432,43.92,54.61,-1.66
Lampeter West Twp - Millport Dist,5205,L5205,Lancaster,448,631,0,1079,41.52,58.48,0.00,502,556,2,15,0,1075,46.70,51.72,-5.18,470,687,10,7,40,19,1233,38.12,55.72,3.40,466,590,5,13,,1074,43.39,54.93,-1.87
Lampeter West Twp - Lakes Dist,5206,L5206,Lancaster,389,647,0,1036,37.55,62.45,0.00,459,555,5,12,1,1032,44.48,53.78,-6.93,399,709,6,2,21,18,1155,34.55,61.39,3.00,420,603,5,12,,1040,40.38,57.98,-2.84
Lampeter West Twp - Windy Hill Dist,5207,L5207,Lancaster,618,984,3,1605,38.50,61.31,0.19,697,873,6,25,2,1603,43.48,54.46,-4.98,624,1068,6,8,89,25,1820,34.29,58.68,4.22,644,930,8,21,,1603,40.17,58.02,-1.67
Lancaster Twp - 1st Dist,5301,L5301,Lancaster,357,144,0,501,71.26,28.74,0.00,368,126,3,2,0,499,73.75,25.25,-2.49,331,156,,3,17,13,520,63.65,30.00,7.60,353,141,2,4,,500,70.60,28.20,0.66
Lancaster Twp - 2nd Dist,5302,L5302,Lancaster,312,93,0,405,77.04,22.96,0.00,313,85,3,5,0,406,77.09,20.94,-0.06,312,159,2,9,22,10,514,60.70,30.93,16.34,321,93,8,5,,427,75.18,21.78,1.86
Lancaster Twp - 3rd Dist,5303,L5303,Lancaster,316,151,1,468,67.52,32.26,0.21,326,128,4,9,0,467,69.81,27.41,-2.29,412,234,2,6,18,11,683,60.32,34.26,7.20,331,126,5,7,,469,70.58,26.87,-3.05
Lancaster Twp - 4th Dist,5304,L5304,Lancaster,516,242,0,758,68.07,31.93,0.00,512,224,4,16,0,756,67.72,29.63,0.35,610,349,9,15,39,20,1042,58.54,33.49,9.53,500,230,5,18,,753,66.40,30.54,1.67
Lancaster Twp - 5th Dist,5305,L5305,Lancaster,510,237,1,748,68.18,31.68,0.13,525,201,7,7,1,741,70.85,27.13,-2.67,491,306,4,4,26,10,841,58.38,36.39,9.80,512,220,7,8,1,748,68.45,29.41,-0.27
Lancaster Twp - 6th Dist,5306,L5306,Lancaster,359,254,1,614,58.47,41.37,0.16,377,232,2,5,0,616,61.20,37.66,-2.73,394,306,8,6,23,9,746,52.82,41.02,5.65,359,240,7,10,,616,58.28,38.96,0.19
Lancaster Twp - 7th Dist,5307,L5307,Lancaster,568,267,0,835,68.02,31.98,0.00,593,230,3,9,1,836,70.93,27.51,-2.91,557,288,7,12,14,24,902,61.75,31.93,6.27,568,250,8,10,,836,67.94,29.90,0.08
Lancaster Twp - 8th Dist,5308,L5308,Lancaster,817,316,1,1134,72.05,27.87,0.09,836,270,6,15,2,1129,74.05,23.91,-2.00,968,444,8,10,55,16,1501,64.49,29.58,7.56,817,293,6,12,2,1130,72.30,25.93,-0.26
Lancaster Twp - 9th Dist,5309,L5309,Lancaster,723,350,0,1073,67.38,32.62,0.00,742,318,6,3,0,1069,69.41,29.75,-2.03,778,481,4,6,43,23,1335,58.28,36.03,9.10,714,326,13,17,1,1071,66.67,30.44,0.71
Leacock Twp,5400,L5400,Lancaster,239,856,1,1096,21.81,78.10,0.09,273,807,3,8,2,1093,24.98,73.83,-3.17,205,956,8,2,20,22,1213,16.90,78.81,4.91,251,826,2,12,1,1092,22.99,75.64,-1.18
Leacock Upper Twp - Bareville Dist,5501,L5501,Lancaster,349,680,0,1029,33.92,66.08,0.00,378,622,6,19,1,1026,36.84,60.62,-2.93,344,834,8,14,40,13,1253,27.45,66.56,6.46,353,650,3,23,,1029,34.31,63.17,-0.39
Leacock Upper Twp - Leacock Dist,5502,L5502,Lancaster,272,554,0,826,32.93,67.07,0.00,307,504,4,12,0,827,37.12,60.94,-4.19,291,644,10,11,32,15,1003,29.01,64.21,3.92,286,519,4,20,,829,34.50,62.61,-1.57
Leacock Upper Twp - Leola Dist,5503,L5503,Lancaster,297,459,0,756,39.29,60.71,0.00,331,399,2,15,3,750,44.13,53.20,-4.85,327,555,8,14,34,20,958,34.13,57.93,5.15,307,427,3,17,2,756,40.61,56.48,-1.32
Little Britain Twp,5600,L5600,Lancaster,318,932,1,1251,25.42,74.50,0.08,381,843,6,16,1,1247,30.55,67.60,-5.13,342,1090,2,14,36,16,1500,22.80,72.67,2.62,357,873,11,8,,1249,28.58,69.90,-3.16
Manheim Twp - 1st Dist,5701,L5701,Lancaster,398,547,0,945,42.12,57.88,0.00,445,488,2,2,1,938,47.44,52.03,-5.32,394,633,1,2,21,25,1076,36.62,58.83,5.50,406,526,3,7,,942,43.10,55.84,-0.98
Manheim Twp - 2nd Dist,5702,L5702,Lancaster,426,492,1,919,46.35,53.54,0.11,464,432,6,8,1,911,50.93,47.42,-4.58,380,539,6,8,27,17,977,38.89,55.17,7.46,431,462,4,11,1,909,47.41,50.83,-1.06
Manheim Twp - 3rd Dist,5703,L5703,Lancaster,433,363,0,796,54.40,45.60,0.00,459,313,2,19,0,793,57.88,39.47,-3.48,438,426,1,6,33,13,917,47.76,46.46,6.63,432,338,6,17,,793,54.48,42.62,-0.08
Manheim Twp - 4th Dist,5704,L5704,Lancaster,391,392,0,783,49.94,50.06,0.00,430,345,2,4,0,781,55.06,44.17,-5.12,378,434,5,10,29,10,866,43.65,50.12,6.29,400,361,3,12,,776,51.55,46.52,-1.61
Manheim Twp - 5th Dist,5705,L5705,Lancaster,449,426,0,875,51.31,48.69,0.00,482,381,1,11,0,875,55.09,43.54,-3.77,455,471,8,9,43,18,1004,45.32,46.91,6.00,458,399,7,12,1,877,52.22,45.50,-0.91
Manheim Twp - 6th Dist,5706,L5706,Lancaster,474,551,0,1025,46.24,53.76,0.00,532,466,5,14,1,1018,52.26,45.78,-6.02,503,596,9,13,29,21,1171,42.95,50.90,3.29,493,516,3,14,,1026,48.05,50.29,-1.81
Manheim Twp - 7th Dist - 41st,5707.1,L5707.1,Lancaster,184,78,0,262,70.23,29.77,0.00,182,70,2,7,1,262,69.47,26.72,0.76,186,97,,1,14,9,307,60.59,31.60,9.64,177,80,1,5,,263,67.30,30.42,2.93
Manheim Twp - 7th Dist - 96th,5707.2,L5707.2,Lancaster,113,45,0,158,71.52,28.48,0.00,113,43,2,1,0,159,71.07,27.04,0.45,126,75,3,3,6,5,218,57.80,34.40,13.72,114,40,3,2,,159,71.70,25.16,-0.18
Manheim Twp - 8th Dist,5708,L5708,Lancaster,334,271,2,607,55.02,44.65,0.33,364,225,5,14,0,608,59.87,37.01,-4.84,378,308,4,4,26,14,734,51.50,41.96,3.53,342,249,5,11,,607,56.34,41.02,-1.32
Manheim Twp - 9th Dist,5709,L5709,Lancaster,371,315,0,686,54.08,45.92,0.00,402,264,6,12,3,687,58.52,38.43,-4.43,370,376,10,11,48,7,822,45.01,45.74,9.07,362,301,5,17,,685,52.85,43.94,1.23
Manheim Twp - 10th Dist,5710,L5710,Lancaster,521,447,0,968,53.82,46.18,0.00,542,396,9,12,2,961,56.40,41.21,-2.58,502,535,5,17,25,25,1109,45.27,48.24,8.56,515,434,10,10,,969,53.15,44.79,0.67
Manheim Twp - 11th Dist,5711,L5711,Lancaster,381,197,0,578,65.92,34.08,0.00,397,161,6,8,3,575,69.04,28.00,-3.13,388,252,1,5,21,9,676,57.40,37.28,8.52,386,181,3,7,,577,66.90,31.37,-0.98
Manheim Twp - 12th Dist,5712,L5712,Lancaster,347,313,0,660,52.58,47.42,0.00,376,267,6,5,0,654,57.49,40.83,-4.92,332,360,4,6,21,10,733,45.29,49.11,7.28,346,303,4,4,,657,52.66,46.12,-0.09
Manheim Twp - 13th Dist,5713,L5713,Lancaster,544,608,1,1153,47.18,52.73,0.09,594,532,5,15,1,1147,51.79,46.38,-4.61,559,647,6,13,39,27,1291,43.30,50.12,3.88,551,578,9,12,,1150,47.91,50.26,-0.73
Manheim Twp - 14th Dist,5714,L5714,Lancaster,365,361,1,727,50.21,49.66,0.14,411,301,4,10,0,726,56.61,41.46,-6.41,368,396,9,5,34,17,829,44.39,47.77,5.82,376,337,3,10,,726,51.79,46.42,-1.58
Manheim Twp - 15th Dist,5715,L5715,Lancaster,505,367,2,874,57.78,41.99,0.23,531,319,3,15,3,871,60.96,36.62,-3.18,468,462,6,7,41,17,1001,46.75,46.15,11.03,518,338,3,13,,872,59.40,38.76,-1.62
Manheim Twp - 16th Dist,5716,L5716,Lancaster,794,729,0,1523,52.13,47.87,0.00,855,633,6,19,1,1514,56.47,41.81,-4.34,751,820,11,10,39,26,1657,45.32,49.49,6.81,797,697,5,20,,1519,52.47,45.89,-0.33
Manheim Twp - 17th Dist,5717,L5717,Lancaster,474,295,2,771,61.48,38.26,0.26,505,247,7,9,2,770,65.58,32.08,-4.11,519,399,4,12,28,15,977,53.12,40.84,8.36,470,279,10,10,1,770,61.04,36.23,0.44
Manheim Twp - 18th Dist,5718,L5718,Lancaster,411,331,0,742,55.39,44.61,0.00,435,285,6,14,0,740,58.78,38.51,-3.39,422,417,4,10,30,18,901,46.84,46.28,8.55,420,308,3,13,,744,56.45,41.40,-1.06
Manheim Twp - 19th Dist,5719,L5719,Lancaster,449,280,0,729,61.59,38.41,0.00,465,244,3,12,3,727,63.96,33.56,-2.37,416,354,5,8,23,14,820,50.73,43.17,10.86,446,265,5,10,,726,61.43,36.50,0.16
Manheim Twp - 20th Dist,5720,L5720,Lancaster,498,595,3,1096,45.44,54.29,0.27,558,513,5,14,2,1092,51.10,46.98,-5.66,518,629,2,7,28,21,1205,42.99,52.20,2.45,515,572,6,6,1,1100,46.82,52.00,-1.38
Manheim Twp - 21st Dist,5721,L5721,Lancaster,617,626,1,1244,49.60,50.32,0.08,667,548,4,21,1,1241,53.75,44.16,-4.15,615,687,7,6,53,28,1396,44.05,49.21,5.54,634,584,6,19,,1243,51.01,46.98,-1.41
Manheim Twp - 22nd Dist,5722,L5722,Lancaster,515,326,0,841,61.24,38.76,0.00,526,294,9,12,1,842,62.47,34.92,-1.23,537,421,8,7,43,17,1033,51.98,40.76,9.25,506,310,9,17,,842,60.10,36.82,1.14
Manheim Twp - 23rd Dist,5723,L5723,Lancaster,561,660,1,1222,45.91,54.01,0.08,656,548,5,4,0,1213,54.08,45.18,-8.17,579,709,5,8,31,14,1346,43.02,52.67,2.89,610,597,3,10,,1220,50.00,48.93,-4.09
Manor Twp - Bethel Dist,5800,L5800,Lancaster,267,223,1,491,54.38,45.42,0.20,292,194,,4,0,490,59.59,39.59,-5.21,278,304,6,5,24,14,631,44.06,48.18,10.32,280,203,3,4,,490,57.14,41.43,-2.76
Manor Twp - Hambright Dist,5801,L5801,Lancaster,671,551,1,1223,54.87,45.05,0.08,703,485,9,20,0,1217,57.76,39.85,-2.90,634,772,8,12,62,32,1520,41.71,50.79,13.15,668,517,11,22,2,1220,54.75,42.38,0.11
Manor Twp - Indiantown Dist,5802,L5802,Lancaster,203,504,0,707,28.71,71.29,0.00,232,461,1,10,0,704,32.95,65.48,-4.24,194,581,7,3,30,17,832,23.32,69.83,5.40,207,484,2,12,,705,29.36,68.65,-0.65
Manor Twp - Leisure Dist,5803,L5803,Lancaster,802,866,0,1668,48.08,51.92,0.00,871,755,10,24,0,1660,52.47,45.48,-4.39,822,1024,8,10,59,24,1947,42.22,52.59,5.86,811,832,4,19,,1666,48.68,49.94,-0.60
Manor Twp - Manor New Dist,5804,L5804,Lancaster,331,732,4,1067,31.02,68.60,0.37,373,675,3,10,4,1065,35.02,63.38,-4.00,315,859,10,6,27,26,1243,25.34,69.11,5.68,338,707,7,10,4,1066,31.71,66.32,-0.69
Manor Twp - Washington Boro Dist,5805,L5805,Lancaster,152,503,0,655,23.21,76.79,0.00,181,460,4,9,0,654,27.68,70.34,-4.47,130,603,5,1,25,8,772,16.84,78.11,6.37,152,485,4,8,,649,23.42,74.73,-0.21
Manor Twp - West Lancaster Dist,5806,L5806,Lancaster,552,442,0,994,55.53,44.47,0.00,603,378,4,8,0,993,60.73,38.07,-5.19,648,611,3,8,36,14,1320,49.09,46.29,6.44,577,395,8,14,1,995,57.99,39.70,-2.46
