Precinct,DistName,DISTID,County,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct,Wolf,Wagner,Glover,Krawchuk,Write In,Total,WolfPct,WagnerPct,KingWolfdiff,Clinton,Trump,Castle,Stein,Johnson,Write In,Total,ClintonPct,TrumpPct,KingClintDiff,Casey,Barletta,Gale,Kerns,Write In,SenTotal,CaseyPct,BarlettaPct,KingCaseyDiff
Lancaster City - 7th Ward - 7th Precinct,707,L707,Lancaster,307,72,1,380,80.79,18.95,0.26,305,69,1,1,0,376,81.12,18.35,-0.33,421,98,,1,16,7,543,77.53,18.05,3.26,300,71,1,2,,374,80.21,18.98,0.58
Lancaster City - 7th Ward - 8th Precinct (CV),708.2,L708.2,Lancaster,96,95,0,191,50.26,49.74,0.00,99,86,,4,0,189,52.38,45.50,-2.12,97,115,,4,5,1,222,43.69,51.80,6.57,99,89,,2,,190,52.11,46.84,-1.84
Lancaster City - 7th Ward - 8th Precinct (LS),708.3,L708.3,Lancaster,143,136,0,279,51.25,48.75,0.00,161,111,1,4,0,277,58.12,40.07,-6.87,130,156,2,3,11,9,311,41.80,50.16,9.45,156,116,2,5,,279,55.91,41.58,-4.66
Lancaster City - 8th Ward - 1st Precinct,801,L801,Lancaster,226,49,1,276,81.88,17.75,0.36,223,46,4,3,0,276,80.80,16.67,1.09,318,79,2,6,14,7,426,74.65,18.54,7.24,226,41,2,7,,276,81.88,14.86,0.00
Lancaster City - 8th Ward - 2nd Precinct,802,L802,Lancaster,225,37,0,262,85.88,14.12,0.00,215,38,1,5,0,259,83.01,14.67,2.87,297,73,4,3,9,6,392,75.77,18.62,10.11,215,34,3,7,,259,83.01,13.13,2.87
Lancaster City - 8th Ward - 3rd Precinct,803,L803,Lancaster,248,79,0,327,75.84,24.16,0.00,256,66,,3,1,326,78.53,20.25,-2.69,326,98,1,12,8,5,450,72.44,21.78,3.40,251,71,2,3,,327,76.76,21.71,-0.92
Lancaster City - 8th Ward - 4th Precinct,804,L804,Lancaster,505,148,3,656,76.98,22.56,0.46,506,127,7,14,3,657,77.02,19.33,-0.04,547,233,,12,29,15,836,65.43,27.87,11.55,501,131,9,17,1,659,76.02,19.88,0.96
Lancaster City - 8th Ward - 5th Precinct,805,L805,Lancaster,267,51,0,318,83.96,16.04,0.00,266,43,5,2,0,316,84.18,13.61,-0.21,395,72,4,15,18,6,510,77.45,14.12,6.51,257,49,6,6,,318,80.82,15.41,3.14
Lancaster City - 8th Ward - 6th Precinct,806,L806,Lancaster,252,69,1,322,78.26,21.43,0.31,248,67,2,5,0,322,77.02,20.81,1.24,303,114,9,3,9,5,443,68.40,25.73,9.86,253,64,3,2,,322,78.57,19.88,-0.31
Lancaster City - 8th Ward - 7th Precinct,807,L807,Lancaster,421,178,0,599,70.28,29.72,0.00,433,154,3,9,0,599,72.29,25.71,-2.00,431,270,5,8,28,15,757,56.94,35.67,13.35,420,152,11,14,,597,70.35,25.46,-0.07
Lancaster City - 8th Ward - 8th Precinct,808,L808,Lancaster,438,131,0,569,76.98,23.02,0.00,423,130,6,2,0,561,75.40,23.17,1.58,502,207,2,18,25,10,764,65.71,27.09,11.27,426,126,2,7,,561,75.94,22.46,1.04
Lancaster City - 8th Ward - 9th Precinct,809,L809,Lancaster,407,104,0,511,79.65,20.35,0.00,405,96,2,3,0,506,80.04,18.97,-0.39,528,135,6,3,12,6,690,76.52,19.57,3.13,400,93,1,10,,504,79.37,18.45,0.28
Lancaster City - 9th Ward - 1st Precinct,901,L901,Lancaster,519,124,0,643,80.72,19.28,0.00,530,103,5,7,0,645,82.17,15.97,-1.46,496,154,2,18,25,8,703,70.55,21.91,10.16,525,108,7,9,1,650,80.77,16.62,-0.05
Lancaster City - 9th Ward - 2nd Precinct,902,L902,Lancaster,120,46,1,167,71.86,27.54,0.60,115,43,2,5,0,165,69.70,26.06,2.16,149,54,,6,9,10,228,65.35,23.68,6.51,115,46,1,4,,166,69.28,27.71,2.58
Lancaster City - 9th Ward - 3rd Precinct,903,L903,Lancaster,494,91,1,586,84.30,15.53,0.17,501,83,2,1,0,587,85.35,14.14,-1.05,508,111,5,13,18,9,664,76.51,16.72,7.79,495,81,6,6,,588,84.18,13.78,0.12
Lancaster City - 9th Ward - 4th Precinct,904,L904,Lancaster,968,171,1,1140,84.91,15.00,0.09,951,156,20,13,2,1142,83.27,13.66,1.64,1246,262,3,13,37,26,1587,78.51,16.51,6.40,946,162,25,20,,1153,82.05,14.05,2.87
Lancaster City - 9th Ward - 5th Precinct,905,L905,Lancaster,547,133,0,680,80.44,19.56,0.00,548,125,2,2,1,678,80.83,18.44,-0.38,526,140,,10,26,18,720,73.06,19.44,7.39,541,127,4,7,,679,79.68,18.70,0.77
Adamstown Boro,1000,L1000,Lancaster,302,453,1,756,39.95,59.92,0.13,316,418,6,12,0,752,42.02,55.59,-2.07,307,560,3,7,37,13,927,33.12,60.41,6.83,305,438,2,10,,755,40.40,58.01,-0.45
